Nombre común |Nombre Ingles |Nombre científico |Clase|Orden |Familia|Golfo de México|Mar Caribe|Pacífico |Fuera del país |Grupo |Nacional/Importado |Objetivo |incidental |Deportiva |Fomento |Cultivada|Cartel |Tríptico |Tallas de captura (cm)|Tipo de captura (Selectiva, No selectiva |Tipo de arte de pesca|Lista roja IUCN|CITES|NOM-059-SEMARNAT-2010|Tipo de Veda|Veda|Generalidades |Distribución |Cultivada / capturada|Comercio|País de importación |Carta Nacional Pesquera (2012) Pacífico zona 1|Carta Nacional Pesquera (2012) Pacífico zona 2|Carta Nacional Pesquera (2012) Pacífico zona 3 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 1 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 2 |Carta Nacional Pesquera (2012) Golfo Mex y Caribe zona 3 |Estado según Arreguín et al. Litoral Oriental del Golfo de California |Estado según Arreguín et al. Litoral centro del Pacífico mexicano|Estado según Arreguín et al. Golfo de Tehuantepec |Estado según Arreguín et al. De Tamaulipas a Tabasco|Estado según Arreguín et al.  Banco de Campeche
Sardina crinuda machete||Opisthonema medirastre|Peces óseos|Clupeiformes|Clupeidae|0|0|1|0|Sardinas||1|0|0|0|0||||||||||||||||||||||||||
Sardina vivita de hebra|Atlantic Thread Herring|Opisthonema oglinum|Actinopterygii|Clupeiformes|Clupeidae|1|1|0|0|Sardinas|Nacional|1|0|0|0|0|Cartel |Tríptico  |14-38|No selectiva|Chinchorro playero, red agallera para escama pelágica, red agallera para escama de fondo.||||||Especie marina de aguas poco profundas. Vive en zonas costeras y cerca de los puertos. Se alimenta de plancton, de pequeños peces y crustáceos.|Se distribuye en el Atlántico occidental, desde Estados Unidos hasta Brasil.|Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||
Sardina Monterrey|Pacific Sardine|Sardinops sagax|Actinopterygii|Clupeiformes|Clupeidae|0|0|1|0|Sardinas|Nacional|1|0|0|0|0|Cartel |Tríptico  |13-40|Selectiva|Red de cerco regulada por la Norma Oficial Mexicana 003-PESC-1993.||||||Especie marina de hábitos costeros y pelágicos. Viven la columna de agua. Se alimenta de crustáceos planctónicos.  |Se distribuye en todo el Pacífico Oriental e Indo Pacífico. |Capturada|Se utiliza la carne. ||Máximo aprovechamiento sustentable|Sin datos|Sin datos||||||||
Dorado||Coryphaena hippurus|Peces óseos|Perciformes|Coryphaenidae|0|0|1|0|Otros||0|0|0|0|0||||||||||||||||||||||||||
Raya látigo blanca|Southern Stingray|Dasyatis americana|Chondrichthyes|Rajiformes|Dasyatidae|1|1|0|0|Rayas y similares |Nacional|1|0|0|0|0|Cartel |Tríptico  |90-200|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores.||||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina tolerante a cambios de salinidad y temperatura. Vive en zonas arenosas, praderas de pastos marinos, lagunas y zonas arrecifales. Se alimenta de grandes invertebrados y peces. |Se distribuye en el Atlántico occidental, desde Nueva Jersey, Golfo de México, Brasil y Antillas. |Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||
Raya látigo redonda  |Whiptail Stingray|Dasyatis brevis|Chondrichthyes|Rajiformes|Dasyatidae|0|0|1|0|Rayas y similares |Nacional|1|0|0|0|0|Cartel |Tríptico  |120-190|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive asociado a manglares, praderas de pastos marinos, praderas de algas, arrecifes de coral y fondos arenosos y fangosos. Se alimenta de peces, crustáceos y moluscos.|Se distribuye en el Pacífico Oriental, desde California a Perú.|Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
||Dasyatis guttata|Rayas y similares |Rajiformes|Dasyatidae|1|0|0|0|Rayas y similares ||1|0|0|0|0||||||||||||||||||||||||||
Mantarraya |Longtail Stingray|Dasyatis longa|Chondrichthyes|Rajiformes|Dasyatidae|0|0|1|0|Rayas y similares |Nacional|1|0|0|0|0|||90-150|No selectiva|Chinchorro playero, red de enmalle para tiburones y rayas en embarcaciones menores, red agallera para escama pelágica.||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive asociado a manglares, praderas de pastos marinos, praderas de algas, arrecifes de coral y fondos arenosos y fangosos. Se alimenta de peces, crustáceos y moluscos.|Se distribuye desde Baja California Sur hasta las Islas Galápagos. |Capturada|Se utiliza la carne. ||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible||||||||
Raya Látigo de espina|Atlantic Stingray|Dasyatis sabina|Chondrichthyes|Rajiformes|Dasyatidae|1|0|0|0|Rayas y similares |Nacional|1|0|0|0|0|Cartel |Tríptico  |27-60|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores.|permisible|||Temporal fija|(Golfo de México) del 15 de mayo al 15 de agosto).|Especie marina de aguas costeras. Vive en estuarios y lagunas costeras. Se alimenta de pequeños invertebrados. |Se distribuye en el Atlántico occidental, desde Chesapeake Bay, sur de Florida y Golfo de México.|Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||
Raya coluda del Pacífico|Pacific Whiptail Stingray|Himantura pacifica|Chondrichthyes|Rajiformes|Dasyatidae|0|0|1|0|Rayas y similares |Nacional|1|0|0|0|0|||90-150|No selectiva|Red de enmalle para tiburones y rayas en embarcaciones menores.||||Temporal fija| (Pacífico) del 1 de mayo al 31 de julio.|Especie marina de hábitos costeros. Vive asociado a manglares, praderas de pastos marinos, praderas de algas, arrecifes de coral y fondos arenosos y fangosos. Se alimenta de peces, crustáceos y moluscos.|Se distribuye desde Baja California Sur hasta las Islas Galápagos. |Capturada|Se utiliza la carne. |||||Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|Máximo aprovechamiento permisible|||||
Raya coluda del Atlántico||Himantura schmardae|Rayas y similares |Rajiformes|Dasyatidae|1|0|0|0|Rayas y similares ||1|0|0|0|0||||||||||||||||||||||||||
Sardina japonesa||Etrumeus teres|Peces óseos|Clupeiformes|Dussumieriidae|0|0|1|0|Otros||1|0|0|0|0||||||||||||||||||||||||||
